[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:07] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:07] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:53765 -> 8.8.8.8:53
[2026-03-26 08:55:07] UDP | 192.168.18.132:63289 -> 8.8.8.8:53
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 8.8.8.8:53 -> 192.168.18.132:53765
[2026-03-26 08:55:07] UDP | 8.8.8.8:53 -> 192.168.18.132:63289
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:07] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51620 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:55149
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51824
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:07] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:07] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:07] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:07] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51620
[2026-03-26 08:55:07] TCP | 192.168.18.132:51620 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51620 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51620 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:55149
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:55149
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:55149
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:55149
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:55149
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:55149
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51824
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51824
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:55149 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51824
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51824
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51824
[2026-03-26 08:55:07] TCP | 37.228.108.150:443 -> 192.168.18.132:51824
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] TCP | 192.168.18.132:51824 -> 37.228.108.150:443
[2026-03-26 08:55:07] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
